config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime (250),
0,5,1,6,4,-0.145,-0.145,silver,1.87E+16,
1,4,2,4,6,-0.791,-0.145,silver,1.46E+16,
2,4,2,6,5,-0.75,-0.145,silver,1.10E+15,
3,5,1,4,4,-0.083,-0.083,silver,2.49E+16,
4,4,1,5,4,-0.031,-0.031,silver,2.21E+16,<-
5,4,2,6,4,-0.583,-0.031,silver,1.16E+16,
6,4,1,4,4,-1.061.669.623.064,-0.031,silver,2.65E+16,
7,5,1,5,4,-0.114,-0.031,silver,2.23E+16,
8,4,1,6,4,-0.062,-0.031,silver,17985436154,
9,5,1,4,6,-10.474.516.531.920.000,-0.031,silver,2.62E+16,
,,,,,,,,,
,,,,,,,,,
1,4,2,4,4,-0.616,-0.191,silver,1.53E+16,
2,6,2,5,3,-0.7,-0.191,silver,1.33E+16,
3,8,1,4,2,-0.3,-0.191,silver,2.49E+15,
4,4,1,4,2,0,0,silver,2.42E+16,<-
5,4,1,5,2,-0.041,0,silver,2.20E+16,
7,5,1,4,2,-0.075,0,silver,2.38E+16,
8,8,2,5,2,-0.7,0,silver,1.25E+16,
9,7,1,4,2,-1.09E+17,0,silver,2.72E+16,
,,,,,,,,,
,,,,,,,,,
3,4,1,5,2,-0.071,-0.071,silver,2.19923E+11,
